Year,Division,Department,Name,Post,Diss_Title,,,,,,,,,,,
1916,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,LESLIE ALVA KENOYER,"Chairman of Biology Department, Western State Teachers College, Kalamazoo, Mich.",Environmental Influences on Nectar Secretion.,,,,,,,,,,,
1916,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,GEORGE KONRAD KARL LINK,"Professor of Botany, University of Chicago, Chicago, Ill.",A Physiological Study of Fusarium in Relation to Potato Disease.,,,,,,,,,,,
1916,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,EDITH ADELAIDE ROBERTS,"Professor and Chairman of the Department of Botany, Vassar College, Poughkeepsie, N.Y.",The Epidermal Cells of Roots.,,,,,,,,,,,
1916,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,EARL EDWARD SHERFF,"Head, Department of Science, Chicago Normal College, Chicago Ill.",Studies in the Genus Bidens.,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ARTHUR LAWRENCE BAKKE,"Professor of Plant Physiology, Iowa State College, Ames, Iowa.",Studies upon the Determination of Wilting by the Use of Standardized Hygrometric Paper. ,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JOHN THEODORE BUCHHOLZ,"Professor of Botany, University of Illinois, Urbana, Ill.",The Suspensor and Early Embryo of Pinus.,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HAROLD DUDLEY CLAYBERG,"9441 South Langley Avenue, Chicago Ill.","Physiographic Ecology of Walloon Lake, Petoskey Region.",,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,WINFIELD SCOTT DUDGEON,"Professor of Botany, Ewing Christian College, Allahabad, India.",The Morphology of Rumex crispus.,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,EZRA JACOB KRAUS,"Professor of Botany, University of Chicago, Chicago, Ill.","Vegetation and Reproduction, with Special Reference to the Tomato (Physiological and Horticultural Aspects).",,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HENRY REIST KRAYBILL,"Professor of Agricultural Chemistry and Head of the State Chemistry Department, Purdue University, Lafayette, Ind.","Vegetation and Reproduction, with Special Reference to the Tomato (Chemical Aspects).",,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,WILFRED WILLIAM ROBBINS,"Associate Professor of Botany, College of Agriculture, University of California, Davis, Calif.","Successions of Vegetation in Boulder Park, Colorado.",,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,DEAN HUMBOLDT ROSE,"Senior Physiologist, Office of Horticultural Crops and Diseases, Bureau of Plant Industry, Department of Agriculture, Washington, D.C.",Oxidase Activity and Chemical Composition of Healthy and Diseased Apple Bark. ,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,RIAL CATLIN ROSE,"(Died August 19, 1924.)","Conditions and Microchemistry of Germination of the Seeds of Tilia, Sambucus, and Rubus. ",,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,MANDAYAM A. SAMPATHKUMARAN,"Professor of Botany, Central College, Bangalore, South India.",Stelar Cambium and Its Derivatives. ,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HOMER CLEVELAND SAMPSON,"Professor of Botany, Ohio State University, Columbus, Ohio.",Chemical Changes Accompanying Abscission in Coleus blumei. ,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,WARREN GOOKIN WATERMAN,"Associate Professor of Botany, Northwestern University, Evanston, Ill.",The Development of Root Systems under Dune Conditions. ,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,BERTRAM WHITTIER WELLS,"Professor of Botany, North Carolina State College of Agriculture, Raleigh, N.C.",A Survey of the Zoocecidia of Northeastern United States and Eastern Canada.,,,,,,,,,,,
1918,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JAMES ELIAS CRIBBS,"Professor of Biology, Drury College, Springfield, Mo.",A Comparative Study of the Foliar Transpiring Power of Tilia americana.,,,,,,,,,,,
1918,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ARTHUR THOMPSON EVANS,"Professor and Head of the Department of Botany, Miami University, Oxford, Ohio.",The Embryo-Sac and Embryo of Pentstemon secundiflorus Benth.,,,,,,,,,,,
1918,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,RODNEY BEECHER HARVEY,"Associate Professor of Botany, University of Minnesota, University Farm, St. Paul, Minn. ",The Hardening Process in Plants and the Developments from Frost Injury.,,,,,,,,,,,
1918,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HENRY ALBERT JONES,"Associate Professor of Truck Crops, College of Agriculture, University of California, Davis, Calif.",Studies on the Seeds of the River Maple (Acer saccharinum L.) and the Sugar Maple (Acer saccharum Marsh).,,,,,,,,,,,
1918,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,THOMAS GUTHRIE PHILLIPS,"Professor of Agricultural Chemistry, University of New Hampshire, Durham, N.H.",Physical and Chemical Changes during Geotropic Response.,,,,,,,,,,,
1918,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,FRANK MILTON SCHERTZ,"Biochemist, Bureau of Plant Industry, Washington, D.C.",Chemical Studies on the Relation of Nitrogen to Mottling in Coleus.,,,,,,,,,,,
1918,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HARLOW LESLIE WALSTER,"Professor and Chairman of the Department of Agronomy, and Dean of the School of Agriculture, North Dakota Agricultural College, N.D.",The Formative Effects of High Temperature upon the Growth of Barley.,,,,,,,,,,,
1918,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,WANDA WENIGER,"(Mrs. William E. Brentzel), Plant Pathologist, North Dakota Experiment Station, Fargo, N.D.",Fertilization in Lilium.,,,,,,,,,,,
1919,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,MERLE CROWE COULTER,"Professor of Plant Genetics, University of Chicago, Chicago, Ill.",Inheritance of Endosperm Characters in Corn.,,,,,,,,,,,
1919,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ARTHUR WING HAUPT,"Assistant Professor of Botany, University of California, Los Angeles, Calif.",The Life History of Fossombronia cristula.,,,,,,,,,,,
1919,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,LADEMA MARY LANGDON,"Assistant Professor of Biology, Goucher College, Baltimore, Md.",The Stem Anatomy of Dioon spinulosum.,,,,,,,,,,,
1919,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ARAVILLA MEEK TAYLOR,"Professor and Head of Department of Biology, Lake Erie College, Painesville, Ohio.",Ecological Succession of Mosses.,,,,,,,,,,,
1919,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JOHN JAMES WILLAMAN,"Biochemist, Böhm and Haas Co., Inc., Bristol, Pa.",The Function of Vitamine in the Metabolism of Sclerotinia cinerea.,,,,,,,,,,,
1920,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HELEN ASHHURST CHOATE,"Associate Professor of Botany, Smith College, Northampton, Mass.",A Study of Certain Chemical Changes Occurring in Wheat during Germination.,,,,,,,,,,,
1920,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,SCOTT VERNE EATON,"Assistant Professor of Botany, University of Chicago, Chicago, Ill.",Sulphur Content of Soils and Its Relation to Plant Nutrition.,,,,,,,,,,,
1920,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HOWARD DEFOREST,"Professor of Botany, University of Southern California, Los Angeles, Calif.","The Plant Ecology of the Rock River Woodlands of Ogle County, Illinois.",,,,,,,,,,,
1920,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,DEAN ALVIN PACK,"Associate Agronomist, Sugar Plant Investigations, 1876 South Main, Salt Lake City, Utah.",After-Ripening and Germination of Juniper Seeds.,,,,,,,,,,,
1920,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HOPE SHERMAN,"Fellow in Pediatrics, Western Reserve University, Cleveland, Ohio.",The Respiration of Dormant Seeds.,,,,,,,,,,,
1920,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,PERRY DANIEL STRAUSBAUGH,"Professor and Head of the Department of Botany, West Virginia University, Morgantown, W.Va.",A Study of Dormancy in the Plum.,,,,,,,,,,,
1921,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HUGO LEANDER BLOMQUIST,"Professor of Botany, Duke University, Durham, N.C.",A Contribution to the Study of the Vascular Anatomy of Angiopteris evecta. ,,,,,,,,,,,
1921,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,FRED WILBERT EMERSON,"Professor of Biological Sciences, New Mexico Normal University, Las Vegas, N.M.",The Subterranean Organs of Bog Plants.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,SUMNER ALBERT IVES,"Professor of Botany, Furman University, Greenville, S.C. The Maturation and Germination of the Seeds of Ilex opaca. HILARY STANISLAS JURICA","Professor of Botany and Head of the Department of Biology, St. Procopius College, Lisle, Ill.",,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HERMAN KURZ,"Professor of Botany, Florida State College for Women, Tallahassee, Fla.","Hydrogen Ion Concentration in Relation to Topography, Types and Depths of Soil, Seasonal Phenomena, and Plant Distribution.",,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,GEORGE WILLARD MARTIN,"Professor of Botany, University of Iowa, Iowa City, Iowa.",Studies on the Food of the Oyster.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,LULU MARIE NEWLON,"(Mrs. George B. Upton), 206 Overlook Road, Ithaca, N.Y.",The North American Species of the Genus Streptanthus.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,EDUARDO QUISUMBING,"Botanist, Bureau of Science, Manila, P.I.",Stony Layer in Seeds of Gymnosperms.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,LILLIAN GRACE REYNOLDS ,"(Mrs.Paul J. Sedgwick), Instructor in Botany, Syracuse University, Syracuse, N.Y.",The Female Gametophyte of Microcycas.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,MARY LOUISE SAWYER,"Assistant Professor of Botany, Wellesley College, Wellesley, Mass.",The Results of Crossing Iris pseudacorus and Iris versicolor.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,PAUL BIGELOW SEARS,"Professor and Head of the Department of Botany, University of Oklahoma, Norman, Okla.",Variations in the Cytology and Gross Morphology of Taraxacum.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,PAUL JOSEPH SEDGWICK,"Associate Professor of Botany, Syracuse University, Syracuse, N.Y.",Stages in the Life History of Encephalartos.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,MALCOLM CAMERON SEWELL,"Associate Professor of Soils, Kansas State Agricultural College, Manhattan, Kan.",Effect of Andropogon sorghum on Succeeding Crops of Triticum sativum vulgare.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ISABEL SEYMOUR SMITH,"Curator of Herbarium, Oberlin College, Oberlin, Ohio.",Vascular Anatomy of Nelumbo lutea.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,FRANK ERNEST ALOYSIUS THONE,"Science Service, Washington, D.C.","Ecological Factors in Region of Starved Rock, Illinois.",,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ELMER GRANT CAMPBELL,"Head of Department of Biology and Dean of Men, Transylvania College, Lexington, KY.","Plant Relations of Brazos County, Texas.",,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,GEORGIA VALENTINE COY,"(Mrs. Furlong), 2048 East Fifty-second Street, Los Angeles, Calif.",The Morphology of Sassafras in Relation to the Phylogeny of Angiosperms.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HENRY TOWNSEND DARLINGTON,"Associate Professor of Botany and Director, Beal Botanic Garden, Michigan State College, East Lansing, Mich.",An Ecological Survey of the Porcupine Mountains.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,SHUN CHING LEE,"Professor of Forestry, Peiping National Normal University, Peiping, China.","Factors Controlling Forest Successions at Lake Itasca, Minnesota.",,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JOHN ROBERT MAGNESS,"Horticulturist, Bureau of Plant Industry, Washington, D.C.",Physiological Studies of Apples in Storage.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,LOUISA ELLA RHINE,"(Mrs. J. B.), 819 Third St., Durham, N.C.",The Divergence of Catalase and Respiration in Germination.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JOSÉ KABIGTING SANTOS,"Professor and Head of the Department of Botany, University of the Philippines, Manila, P.I.",The Determination of Sex in Elodea.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JAMES JESSE TURNER,"Professor of Biology, Hiram College, Hiram, Ohio.",The Origin and Development of the Vascular System of Lycopodium lucidulum.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JOHN WOODARD,"Assistant Professor of Biology, Wittenberg College, Springfield, Ohio.",Sulphur as a Factor in Soil Fertility.,,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,WARD B. DAVIS,"Associate Chemist, U.S. Department of Agriculture, 148 So. Mission Road, Los Angeles, Calif.",A Physiological Investigation of Black Heart of the Potato Tuber.,,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ROBERT BARCLAY DUSTMAN,"Professor and Head of the Department of Agricultural Chemistry, West Virginia Agricultural Experiment Station, Morgantown, W.Va.",Inherent Factors Related to the Absorption of Mineral Elements by Plants.,,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JOHN HOBART HOSKINS,"Professor and Head of the Department of Botany, University of Cincinnati, Cincinnati, Ohio.",Sturiella minor: A Fossil Plant Showing Structure from the Carboniferous of Illinois.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,LILLIAN GRACE REYNOLDS ,"(Mrs.Paul J. Sedgwick), Instructor in Botany, Syracuse University, Syracuse, N.Y.",The Female Gametophyte of Microcycas.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,MARY LOUISE SAWYER,"Assistant Professor of Botany, Wellesley College, Wellesley, Mass.",The Results of Crossing Iris pseudacorus and Iris versicolor.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,PAUL BIGELOW SEARS,"Professor and Head of the Department of Botany, University of Oklahoma, Norman, Okla.",Variations in the Cytology and Gross Morphology of Taraxacum.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,PAUL JOSEPH SEDGWICK,"Associate Professor of Botany, Syracuse University, Syracuse, N.Y.",Stages in the Life History of Encephalartos.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,MALCOLM CAMERON SEWELL,"Associate Professor of Soils, Kansas State Agricultural College, Manhattan, Kan.",Effect of Andropogon sorghum on Succeeding Crops of Triticum sativum vulgare.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ISABEL SEYMOUR SMITH,"Curator of Herbarium, Oberlin College, Oberlin, Ohio.",Vascular Anatomy of Nelumbo lutea.,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,FRANK ERNEST ALOYSIUS THONE,"Science Service, Washington, D.C.","Ecological Factors in Region of Starved Rock, Illinois.",,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ELMER GRANT CAMPBELL,"Head of Department of Biology and Dean of Men, Transylvania College, Lexington, KY.","Plant Relations of Brazos County, Texas.",,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,GEORGIA VALENTINE COY,"(Mrs. Furlong), 2048 East Fifty-second Street, Los Angeles, Calif.",The Morphology of Sassafras in Relation to the Phylogeny of Angiosperms.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HENRY TOWNSEND DARLINGTON,"Associate Professor of Botany and Director, Beal Botanic Garden, Michigan State College, East Lansing, Mich.",An Ecological Survey of the Porcupine Mountains.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,SHUN CHING LEE,"Professor of Forestry, Peiping National Normal University, Peiping, China.","Factors Controlling Forest Successions at Lake Itasca, Minnesota.",,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JOHN ROBERT MAGNESS,"Horticulturist, Bureau of Plant Industry, Washington, D.C.",Physiological Studies of Apples in Storage.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,LOUISA ELLA RHINE,"(Mrs. J. B.), 819 Third St., Durham, N.C.",The Divergence of Catalase and Respiration in Germination.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JOSÉ KABIGTING SANTOS,"Professor and Head of the Department of Botany, University of the Philippines, Manila, P.I.",The Determination of Sex in Elodea.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JAMES JESSE TURNER,"Professor of Biology, Hiram College, Hiram, Ohio.",The Origin and Development of the Vascular System of Lycopodium lucidulum.,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JOHN WOODARD,"Assistant Professor of Biology, Wittenberg College, Springfield, Ohio.",Sulphur as a Factor in Soil Fertility.,,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,WARD B. DAVIS,"Associate Chemist, U.S. Department of Agriculture, 148 So. Mission Road, Los Angeles, Calif.",A Physiological Investigation of Black Heart of the Potato Tuber.,,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ROBERT BARCLAY DUSTMAN,"Professor and Head of the Department of Agricultural Chemistry, West Virginia Agricultural Experiment Station, Morgantown, W.Va.",Inherent Factors Related to the Absorption of Mineral Elements by Plants.,,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JOHN HOBART HOSKINS,"Professor and Head of the Department of Botany, University of Cincinnati, Cincinnati, Ohio.",Sturiella minor: A Fossil Plant Showing Structure from the Carboniferous of Illinois.,,,,,,,,,,,
1925,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,FRANK ALDIS WELTON,"Associate in Agronomy, Agricultural Experiment Station, Wooster, Ohio.",Lodging in Oats and Wheat.,,,,,,,,,,,
1925,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,MARY WESTALL,"Assistant Professor of Botany, Agnes Scott College, Decatur, Ga.",A Study of Tracheids in the Cycadales.,,,,,,,,,,,
1925,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,PERCY WHITE ZIMMERMAN,"Plant Physiologist, Boyce Thompson Institute of Plant Research, Yonkers, N.Y.",Vegetative Plant Propagation with Special Reference to Cuttings.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JOHN MORRIS ARTHUR,"Biochemist, Boyce Thompson Institute for Plant Research, Yonkers, N.Y.",Metabolism Studies and Their Relation to Color Product in Maize Plants.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,GRACE BARKLEY.,"(Died April 1, 1930.)",The Differentiation of the Vascular Bundle of Trichosanthes anguina.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,CHING-YUEH CHANG,"Professor of Botany, National Central University, Nanking, China.",The Origin and Development of Tissues in the Rhizome of Pteris aquilina L.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,WALTER PACE COTTAM,"Professor and Head of Department of Botany, University of Utah, Salt Lake City, Utah.","An Ecological Study of the Flora of Utah Lake, Utah.",,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ROLLO OTHWELL EARL,"Professor of Botany, Queen's University, Kingston, Ontario, Canada.",The Nature of Chromosomes. I. The Effects of Reagents on Root Tip Sections of Vicia faba L.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,EDNA LOUISE JOHNSON,"Associate Professor of Biology, University of Colorado, Boulder, Colo. ","Effects of X-rays upon Growth, Development, and the Oxidizing Enzymes of Helianthus annuus.",,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HIRO OHASHI,"Assistant Professor of Biology, Japan Women's University, Tokyo, Japan.",A Cytological Study of Oedogonium.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HENRY WILLIAM POPP,"Assistant Professor of Botany, Pennsylvania State College, State College, Pa.",A Physiological Study of the Effect of Light of Various Ranges of Wavelength on the Growth of Plants.,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,MARY MINERVA STEAGALL,"Head of Zoology Department, Southern Illinois Teachers' College, Carbondale, Ill.",Soil Acidity as a Factor in the Distribution of Illinois Ferns.,,,,,,,,,,,
1927,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,EMMA NATHALIA ANDERSEN,"Assistant Professor of Botany, University of Nebraska, Lincoln, Neb.",Morphology of the Sporophyte of Marchantia domingensis. ,,,,,,,,,,,
